,,,,,,,,,,,
,,,,,,,,,,,
,Total Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,11 Sep to 15 Sep,627316,616175,272,988697,1.576074897,0,0,1.018080902,2306.308824,0.5353501548
,,,,,,,,,,,
,,,,,,,,,,,
,Daily Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,2025-09-11 0:00:00,92878,92548,210,126158,1.358319516,0,0,1.003565717,442.2761905,0.005292
,2025-09-12 0:00:00,247402,245811,262,321354,1.298914318,0,0,1.006472452,944.2824427,0.005279416667
,2025-09-13 0:00:00,223374,221963,252,280286,1.254783457,0,0,1.006356915,886.4047619,0.7853147083
,2025-09-14 0:00:00,190510,189447,245,237432,1.246296782,0,0,1.005611068,777.5918367,0.9975930833
,2025-09-15 0:00:00,21796,21785,182,23467,1.076665443,0,0,1.000504935,119.7582418,1
,,,,,,,,,,,
,,,,,,,,,,,
,Hourly Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,2025-09-11 14:00:00,14361,14354,158,21888,1.524127846,0,0,1.000487669,90.89240506,0
,2025-09-11 15:00:00,9305,9303,115,10019,1.076732939,0,0,1.000214984,80.91304348,0
,2025-09-11 16:00:00,11985,11981,144,12869,1.073758865,0,0,1.000333862,83.22916667,0
,2025-09-11 17:00:00,11252,11250,127,12057,1.071542837,0,0,1.000177778,88.5984252,0.008621
,2025-09-11 18:00:00,10502,10498,103,11363,1.081984384,0,0,1.000381025,101.961165,0
,2025-09-11 19:00:00,11010,11002,106,11946,1.085013624,0,0,1.000727141,103.8679245,0.008547
,2025-09-11 20:00:00,10935,10927,117,11849,1.083584819,0,0,1.000732131,93.46153846,0.014184
,2025-09-11 21:00:00,10205,10200,102,11112,1.088878001,0,0,1.000490196,100.0490196,0
,2025-09-11 22:00:00,11138,11137,109,12085,1.085024241,0,0,1.000089791,102.1834862,0.010204
,2025-09-11 23:00:00,10101,10098,93,10970,1.086031086,0,0,1.000297089,108.6129032,0.011364
,2025-09-12 0:00:00,10341,10333,111,11235,1.086451987,0,0,1.000774219,93.16216216,0.0125
,2025-09-12 1:00:00,10201,10198,107,10968,1.075188707,0,0,1.000294175,95.3364486,0.004566
,2025-09-12 2:00:00,11717,11709,123,12478,1.064948366,0,0,1.000683235,95.2601626,0.004902
,2025-09-12 3:00:00,14015,14009,156,14578,1.040171245,0,0,1.000428296,89.83974359,0
,2025-09-12 4:00:00,11984,11979,138,12793,1.067506676,0,0,1.000417397,86.84057971,0
,2025-09-12 5:00:00,11663,11653,147,12462,1.068507245,0,0,1.000858148,79.34013605,0.014925
,2025-09-12 6:00:00,12361,12354,162,13163,1.064881482,0,0,1.000566618,76.30246914,0
,2025-09-12 7:00:00,13256,13249,185,14214,1.072269161,0,0,1.000528342,71.65405405,0
,2025-09-12 8:00:00,10827,10823,185,11566,1.068255288,0,0,1.000369583,58.52432432,0
,2025-09-12 9:00:00,11792,11788,187,12684,1.075644505,0,0,1.000339328,63.05882353,0
,2025-09-12 10:00:00,11761,11757,196,12733,1.082646034,0,0,1.000340223,60.00510204,0.008621
,2025-09-12 11:00:00,11767,11762,196,12773,1.085493329,0,0,1.000425098,60.03571429,0
,2025-09-12 12:00:00,11160,11158,187,12128,1.086738351,0,0,1.000179244,59.67914439,0.008547
,2025-09-12 13:00:00,10988,10982,170,11857,1.079086276,0,0,1.000546349,64.63529412,0.014184
,2025-09-12 14:00:00,11919,11913,167,12734,1.06837822,0,0,1.000503651,71.37125749,0
,2025-09-12 15:00:00,9049,9045,134,9484,1.04807161,0,0,1.000442233,67.52985075,0.010204
,2025-09-12 16:00:00,8745,8743,129,9213,1.053516295,0,0,1.000228754,67.79069767,0.011364
,2025-09-12 17:00:00,7858,7853,116,8247,1.049503691,0,0,1.000636699,67.74137931,0.0125
,2025-09-12 18:00:00,18589,18584,161,20067,1.079509387,0,0,1.000269049,115.4596273,0.004566
,2025-09-12 19:00:00,19487,19477,172,21213,1.088571868,0,0,1.000513426,113.2965116,0.004902
,2025-09-12 20:00:00,25626,25618,179,28406,1.108483571,0,0,1.00031228,143.1620112,0
,2025-09-12 21:00:00,9775,9775,147,10194,1.04286445,0,0,1,66.49659864,0
,2025-09-12 22:00:00,12334,12334,164,12878,1.044105724,0,0,1,75.20731707,0.014925
,2025-09-12 23:00:00,12758,12757,162,13286,1.041385797,0,0,1.000078388,78.75308642,0
,2025-09-13 0:00:00,9445,9445,159,9727,1.029857067,0,0,1,59.40251572,0
,2025-09-13 1:00:00,6356,6355,152,6468,1.017621145,0,0,1.000157356,41.81578947,0
,2025-09-13 2:00:00,11408,11402,144,12028,1.054347826,0,0,1.000526223,79.22222222,0.01
,2025-09-13 3:00:00,8497,8497,146,8807,1.036483465,0,0,1,58.19863014,0
,2025-09-13 4:00:00,14028,14027,199,14456,1.030510408,0,0,1.000071291,70.49246231,0.201389
,2025-09-13 5:00:00,4608,4608,144,4680,1.015625,0,0,1,32,0.75
,2025-09-13 6:00:00,10016,10014,160,10491,1.047424121,0,0,1.00019972,62.6,1
,2025-09-13 7:00:00,6465,6465,124,6952,1.075328693,0,0,1,52.13709677,1
,2025-09-13 8:00:00,7450,7447,137,8077,1.084161074,0,0,1.000402847,54.37956204,0.977011
,2025-09-13 9:00:00,8473,8469,146,9240,1.090522837,0,0,1.000472311,58.03424658,0.988506
,2025-09-13 10:00:00,8964,8962,159,9793,1.092481035,0,0,1.000223164,56.37735849,0.988764
,2025-09-13 11:00:00,9068,9065,160,9899,1.091640935,0,0,1.000330943,56.675,1
,2025-09-13 12:00:00,9156,9155,158,9955,1.087265181,0,0,1.00010923,57.94936709,1
